,TARIH,ZAMAN,LAT,LONG,ULKE,SEHIR,BOLGE,YON,MESAFE,DERINLIK,BUYUKLUK,CIDDIYET
0,2007-08-01,12:03:08 AM,40.79,30.09,turkey,kocaeli,bayraktar izmit,west,0.1,6.2,4.0,yuksek
1,2012-06-24,12:07:22 AM,38.75,43.61,turkey,van,ilikaynak,south_west,0.1,10.4,4.5,yuksek
2,2011-10-28,12:47:56 AM,38.76,43.54,turkey,van,degirmenozu,south_east,0.1,4.1,4.2,yuksek
3,2013-05-01,12:47:56 AM,37.31,37.11,turkey,kahramanmaras,ordekdede pazarcik,south_east,0.1,10.5,3.5,dusuk
4,2011-05-22,12:49:49 AM,39.13,29.04,turkey,kutahya,kapikaya simav,north_west,0.1,8.2,3.9,orta
5,2005-07-24,12:36:10 AM,36.96,36.03,turkey,hatay,turunclu erzin,north_east,0.1,23.0,4.1,yuksek
6,1966-08-19,12:03:55 AM,39.21,41.4,turkey,mus,tasci varto,east,0.1,15.0,4.7,yuksek
7,1966-08-19,12:41:18 AM,39.13,41.48,turkey,mus,yedikavak varto,south_west,0.2,51.0,4.7,yuksek
8,1966-12-30,12:57:09 AM,40.74,30.74,turkey,sakarya,suleymaniye hendek,south_west,0.2,32.0,4.3,yuksek
9,1967-05-22,12:46:02 AM,36.59,29.35,turkey,mugla,cobanlar fethiye,south_west,0.2,55.0,4.6,yuksek
10,1975-05-30,12:22:42 AM,38.75,27.6,turkey,manisa,hacirahmanli saruhanli,south_west,0.2,10.0,4.2,yuksek
11,2008-03-29,12:12:30 AM,40.61,34.76,turkey,corum,erdek,south_west,0.2,9.5,4.5,yuksek
12,2012-04-11,12:49:32 AM,39.49,27.98,turkey,balikesir,ciftlikkoy,south_west,0.2,8.2,3.9,orta
13,2012-05-04,12:38:14 AM,40.31,27.0,turkey,canakkale,disbudak lapseki,south_west,0.2,13.0,4.3,yuksek
14,1974-01-26,12:49:20 AM,37.25,29.6,turkey,burdur,kucukalan cavdir,south_east,0.2,35.0,4.0,yuksek
15,1976-05-21,12:37:02 AM,39.28,29.16,turkey,kutahya,goncek emet,south_east,0.2,25.0,4.4,yuksek
16,2007-02-15,12:49:15 AM,38.8,40.07,turkey,elazig,karasungur kovancilar,south_east,0.2,6.0,3.7,orta
17,2017-02-06,12:03:32 AM,39.53,26.12,turkey,canakkale,gulpinar ayvacik,south_east,0.2,11.8,3.6,orta
18,2006-07-19,12:26:19 AM,38.35,39.08,turkey,elazig,doganbagi sivrice,south,0.2,8.0,3.8,orta
19,2014-10-21,12:03:56 AM,38.18,27.11,turkey,izmir,sasal menderes,south,0.2,18.7,4.1,yuksek
20,1967-08-14,12:34:20 AM,40.68,30.27,turkey,sakarya,nailiye sapanca,north_west,0.2,34.0,4.2,yuksek
21,1970-04-10,12:13:49 AM,39.13,29.31,turkey,kutahya,soguksu gediz,north_west,0.2,11.0,4.2,yuksek
22,1970-04-10,12:14:40 AM,39.13,29.31,turkey,kutahya,soguksu gediz,north_west,0.2,23.0,4.2,yuksek
23,1974-01-06,12:37:24 AM,38.28,42.92,turkey,van,kazanc gevas,north_west,0.2,29.0,4.4,yuksek
24,2005-08-29,12:33:48 AM,40.52,36.83,turkey,tokat,mercimekduzu niksar,north_west,0.2,6.0,4.2,yuksek
25,2008-07-12,12:54:03 AM,39.28,41.72,turkey,erzurum,catak hinis,north_west,0.2,6.0,4.0,yuksek
26,2011-11-06,12:30:54 AM,38.74,43.45,turkey,van,yemlice,north_west,0.2,7.0,3.9,orta
27,2013-08-31,12:49:43 AM,39.4,28.23,turkey,balikesir,durasilar bigadic,north_west,0.2,2.7,3.6,orta
28,2017-02-28,12:26:40 AM,39.48,26.06,turkey,canakkale,babakale ayvacik,north_west,0.2,13.4,3.5,dusuk
29,1988-10-26,12:10:28 AM,37.96,27.69,turkey,aydin,meseli germencik,north_east,0.2,20.0,3.9,orta
30,1990-04-25,12:17:34 AM,37.11,27.75,turkey,mugla,demirciler milas,north_east,0.2,6.0,3.7,orta
31,2003-09-01,12:43:09 AM,40.9,32.42,turkey,karabuk,kabaarmut eskipazar,north_east,0.2,10.0,3.7,orta
32,2011-05-21,12:43:08 AM,39.1,29.03,turkey,kutahya,gokceler simav,north_east,0.2,5.8,3.8,orta
33,2011-10-24,12:06:31 AM,38.91,43.66,turkey,van,ovapinar muradiye,north_east,0.2,6.0,3.5,dusuk
34,2011-11-24,12:56:00 AM,38.98,43.58,turkey,van,unseli muradiye,north_east,0.2,6.0,3.7,orta
35,2012-10-30,12:48:14 AM,37.31,37.13,turkey,kahramanmaras,hanobasi pazarcik,north_east,0.2,4.0,3.6,orta
36,2017-07-15,12:00:31 AM,38.17,43.23,turkey,van,boyunpinar catak,north_east,0.2,3.1,3.3,dusuk
37,1949-05-13,12:14:07 AM,40.94,32.71,turkey,karabuk,incebogaz eskipazar,west,0.3,21.0,5.0,yuksek
38,1984-08-18,12:04:49 AM,38.63,27.65,turkey,manisa,gumulceli saruhanli,west,0.3,11.0,3.7,orta
39,2004-02-07,12:53:16 AM,39.88,29.21,turkey,bursa,alpagut keles,west,0.3,9.0,3.5,dusuk
40,2007-09-29,12:16:56 AM,39.75,27.75,turkey,balikesir,deliklitas,west,0.3,8.7,3.6,orta
41,1949-11-28,12:47:18 AM,40.98,30.74,turkey,sakarya,kurudere karasu,south_west,0.3,11.0,4.7,yuksek
42,2011-11-13,12:05:23 AM,38.9,43.58,turkey,van,cakirbey,south_west,0.3,7.0,3.5,dusuk
43,2012-07-22,12:26:03 AM,37.54,36.38,turkey,kahramanmaras,gokceli andirin,south_west,0.3,11.5,5.0,yuksek
44,2012-10-16,12:25:04 AM,37.31,37.12,turkey,kahramanmaras,hanobasi pazarcik,south_west,0.3,11.8,4.5,yuksek
45,1955-07-16,12:07:17 AM,37.65,27.26,turkey,aydin,yuvaca soke,south_east,0.3,41.0,6.3,yuksek
46,2007-10-29,12:58:05 AM,37.4,36.34,turkey,kahramanmaras,anacik andirin,south_east,0.3,9.9,3.5,dusuk
47,2009-03-09,12:42:30 AM,39.05,32.34,turkey,ankara,emirler haymana,south_east,0.3,6.0,3.7,orta
48,2011-11-08,12:38:04 AM,38.82,43.66,turkey,van,esenkoc muradiye,south_east,0.3,7.0,3.5,dusuk
49,2012-05-03,12:24:15 AM,39.13,29.17,turkey,kutahya,inlice simav,south_east,0.3,6.0,4.0,yuksek
50,2012-06-15,12:48:16 AM,37.29,42.39,turkey,sirnak,ucagac silopi,south_east,0.3,4.4,4.3,yuksek
51,2013-11-10,12:09:23 AM,40.76,30.27,turkey,sakarya,yukariderekoy serdivan,south_east,0.3,14.8,3.5,dusuk
52,2015-03-28,12:08:16 AM,37.48,36.41,turkey,kahramanmaras,bogazoren andirin,south_east,0.3,8.7,4.1,yuksek
53,2011-05-29,12:31:40 AM,39.12,29.08,turkey,kutahya,sogut simav,south,0.3,10.9,4.6,yuksek
